Country Name,Country Code,Time,Time Code,Agricultural land (% of land area) [AG.LND.AGRI.ZS],Access to electricity (% of population) [EG.ELC.ACCS.ZS],Employment in agriculture (% of total employment) (modeled ILO estimate) [SL.AGR.EMPL.ZS],Urban population (% of total population) [SP.URB.TOTL.IN.ZS],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Forest area (% of land area) [AG.LND.FRST.ZS],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (current US$) [NY.GDP.PCAP.CD],"Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]","Current account balance (BoP, current US$) [BN.CAB.XOKA.CD]",Net migration [SM.POP.NETM],Population growth (annual %) [SP.POP.GROW],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",Expense (current LCU) [GC.XPN.TOTL.CN],"Employment to population ratio, 15+, total (%) (modeled ILO estimate) [SL.EMP.TOTL.SP.ZS]","Government expenditure on education, total (% of government expenditure) [SE.XPD.TOTL.GB.ZS]"
Nigeria,NGA,2010,YR2010,73.5575392250513,48,41.3431,43.48,0.559512915251027,25.5388078219529,8.00565591528178,2280.11197852503,13.7400521363694,3.755,13111276866.0477,18073,2.74437885223698,50.945,84.4,..,58.111,..
Nigeria,NGA,2011,YR2011,73.7211370598505,55.9,40.58178,44.366,0.574122748158516,25.3595023990689,5.30792420366642,2504.87827884434,10.8261371880017,3.77,10668377374.3563,38226,2.76406237855304,51.357,83.2,..,58.133,..
Nigeria,NGA,2012,YR2012,73.8858328666952,53.0173645019531,39.46394,45.246,0.560545509755019,25.180196976185,4.23006117510553,2728.02268335423,12.2242413020584,3.75,17374274674.8298,41741,2.74928887763244,51.497,82,..,55.691,..
Nigeria,NGA,2013,YR2013,74.0494307014943,55.6,38.27072,46.118,0.618778681422468,25.0008915533011,6.67133539288378,2976.75673612767,8.49551838265667,3.7,19048981238.3773,10588,2.69747404339158,51.707,81.1,..,53.225,..
Nigeria,NGA,2014,YR2014,74.2152244803847,54.1536521911621,37.52303,46.982,0.640072080671911,24.8215861304171,6.30971865572383,3200.95314600431,8.04741087967911,3.944,906535877.208596,-49351,2.6281238528085,51.791,80.2,..,53.671,..
Nigeria,NGA,2015,YR2015,74.3733324549557,52.5,37.0064,47.838,0.58559167537452,24.6422807075332,2.65269329541835,2679.55476480921,9.00943498007705,4.221,-15438642533.9653,-145917,2.54118746244735,51.841,79.3,..,54.094,..
Nigeria,NGA,2016,YR2016,74.542420149983,59.3,36.67591,48.683,0.587371085185034,24.4629795667402,-1.61686894991816,2144.77993839856,15.6968126387972,4.509,5077217476.10779,-54315,2.50703408562558,52.043,78.3,..,54.506,..
Nigeria,NGA,2017,YR2017,74.7049200127365,54.4,36.29753,49.519,0.560638215463648,24.2836830374299,0.805886619542704,1941.87948520625,16.5022662139641,4.729,13563765219.2942,15016,2.52731691971774,52.305,77.1,..,54.951,..
Nigeria,NGA,2018,YR2018,74.8729097357181,56.5,35.91854,50.344,0.572783212388204,24.1043842023782,1.92275734157302,2125.83428239448,12.0951065173432,4.963,7283154462.97248,-81384,2.49664490408847,52.554,75.5,..,55.383,..
Nigeria,NGA,2019,YR2019,75.0376055425629,55.4,35.51901,51.157,0.588005207479626,23.9250853673265,2.2084292771582,2334.02354308408,11.3964223378115,5.206,-13685219004.1987,-103989,2.44820069834557,52.91,73.9,..,55.805,..
Nigeria,NGA,2020,YR2020,75.2033993214533,55.4,35.75922,51.958,0.537510175389551,23.7457865322749,-1.79425308233591,2074.61392802438,13.2460234276598,5.999,-15985927540.7668,-4824,2.44060888477318,52.887,72.3,..,54.812,..
Nigeria,NGA,2021,YR2021,75.3691931003437,59.5,35.20511,52.746,..,23.5664876972232,3.64718654100696,2065.74906750923,16.9528457221608,5.936,-3254163170.28253,-76364,2.40636338101405,52.676,70.6,..,54.886,..
Nigeria,NGA,2022,YR2022,..,..,..,53.521,..,..,3.25168140839833,2184.42149316828,18.8471877843274,5.761,1018598846.08075,..,2.38000715491565,..,..,..,55.476,..
Pakistan,PAK,1998,YR1998,47.6857617268576,70.46,43.4833,32.585,0.619966415653166,5.97546440431714,2.55023429543455,427.506327495099,6.22800415424547,0.613,-2248000000,148849,2.89123826209315,61.09,89.2,514860000000,49.644,..
Pakistan,PAK,1999,YR1999,47.6805728518057,70.2653503417969,43.40865,32.783,0.659832693075847,5.91377776048153,3.66013274348722,420.682609110642,4.14263718082168,0.614,-920000000,148403,2.8584443558606,61.679,86.9,558122000000,49.872,11.3073301315308
Pakistan,PAK,2000,YR2000,47.6053341635533,72.81689453125,45.07853,32.982,0.637262087399875,5.85209111664591,4.26008801168791,531.306496052198,4.36666451291681,0.611,-85000000,940739,3.07555291166784,62.102,84.8,657598000000,50.102,8.4898796081543
Pakistan,PAK,2001,YR2001,47.9607721046077,73.8680114746094,44.58785,33.18,0.627048268312485,5.79792834163553,3.55441821580422,499.218306168163,3.14826144590616,0.6,1878000000,344288,3.09207918437975,62.421,82.9,..,50.127,..
Pakistan,PAK,2002,YR2002,47.8466168534662,74.9105834960938,42.09145,33.38,0.626753893800197,5.74376556662516,2.50833772398214,489.425527180022,3.29034472613156,0.587,3854000000,-834546,2.50885975954029,62.626,81.1,..,50.154,..
Pakistan,PAK,2003,YR2003,47.7921336654213,75.9516143798828,42.09074,33.58,0.633183138590725,5.68960279161478,5.77703399200348,549.87037697581,2.91413470059477,0.6,3573000000,-578225,2.1893881210377,62.843,79.6,..,50.286,..
Pakistan,PAK,2004,YR2004,46.7582503113325,76.9981155395508,43.06945,33.781,0.693317062862858,5.6354400166044,7.54686001519235,631.471170778428,7.44462469342738,0.604,-817000000,-524871,2.23514920732307,63.052,78.1,..,50.423,11.2293500900269
Pakistan,PAK,2005,YR2005,46.6544728102947,78.0570907592773,43.06812,33.982,0.697409169212382,5.58127724159402,6.51877807393943,688.500587937743,9.0633273703042,0.591,-3606200000,-632467,2.15849215504399,62.466,76.8,..,50.082,13.7775096893311
Pakistan,PAK,2006,YR2006,46.875,79.1353149414063,43.38858,34.184,0.742989902217322,5.52711446658364,5.89898444157643,770.843339358325,7.92108440058788,0.58,-6747000000,-628923,2.0985131417675,63.731,75.5,..,49.74,15.2890996932983
Pakistan,PAK,2007,YR2007,46.7167393109174,80.2343826293945,43.63163,34.387,0.80150437774136,5.47295169157327,4.83281727691724,837.631537927295,7.59868441050775,0.4,-8301000000,-563471,2.14152397156301,63.852,74.2,..,49.85,15.445520401001
Pakistan,PAK,2008,YR2008,45.8086861768369,81.3506698608398,44.69526,34.59,0.756912387652784,5.41878891656289,1.70140546555248,914.731489303734,20.2861210929554,0.42,-15654500000,-525915,2.17888921699852,64.036,72.9,..,49.87,14.096960067749
Pakistan,PAK,2009,YR2009,45.7619863013699,82.480354309082,43.30769,34.793,0.764440547930542,5.36462614155251,2.83165851919782,884.44101417044,13.6477650639761,0.54,-3993430000,-338507,2.2291625346925,64.14,71.6,..,50.267,12.0826301574707
Pakistan,PAK,2010,YR2010,45.7165836446658,87.1227264404297,43.38948,34.997,0.72190976009205,5.31046336654213,1.60668862898785,911.089996122843,12.938870563489,0.65,-1354000000,-431891,2.25257934512803,64.436,70.2,..,50.668,11.8646602630615
Pakistan,PAK,2011,YR2011,46.6168534661685,87.8373413085938,43.49343,35.202,0.713434272995773,5.26865919468659,2.74840591749019,1075.45102015496,11.9160927116277,0.8,-2207000000,-890633,2.11083457768435,64.648,68.7,..,50.364,10.9246101379395
Pakistan,PAK,2012,YR2012,46.781600249066,88.5681991577148,42.86045,35.408,0.711250896926277,5.22685502283105,3.50703341999964,1109.67873521456,9.6823518605568,1.864,-2342000000,-1647986,1.7979754297027,64.782,67.1,..,50.157,11.0406303405762
Pakistan,PAK,2013,YR2013,47.063096720631,89.3315200805664,42.23656,35.613,0.710993636907017,5.18505085097551,4.39645663353076,1126.04077606401,7.6921561189957,2.95,-4416000000,-1906315,1.53689764905925,65.15,65.5,..,49.932,11.5139799118042
Pakistan,PAK,2014,YR2014,47.0267745952677,90.1381759643555,42.2332,35.819,0.740619420271711,5.14324667911997,4.67470798154832,1173.39230924409,7.18938402847025,1.83,-3658000000,-2037911,1.40918297342086,65.284,63.9,..,50.067,11.3006601333618
Pakistan,PAK,2015,YR2015,46.9619136571191,90.9774703979492,41.01001,36.026,0.778086202855925,5.10144250726443,4.73114747532071,1282.44302583998,2.52932817254226,3.57,-2803000000,-2172159,1.29655172364692,65.697,62.2,..,50.173,13.1872797012329
